#quick,cg_local
32
0,0
1,2
2,2
3,5
4,2
5,6
6,3
7,7
8,2
9,3
10,6
11,7
12,5
13,7
14,7
15,8
16,1
17,3
18,3
19,7
20,3
21,7
22,4
23,8
24,3
25,4
26,7
27,8
28,7
29,8
30,8
31,9
#cg_local,cg_global
10
0,32
1,33
2,48
3,50
4,51
5,52
6,56
7,60
8,62
9,63
#cg_local,amount_of_quicks,quicks
10
0,1,0
1,1,16
2,4,1,2,4,8
3,6,6,9,17,18,20,24
4,2,22,25
5,2,3,12
6,2,5,10
7,8,7,11,13,14,19,21,26,28
8,5,15,23,27,29,30
9,1,31
