#quick,cg_local
16384
579,67
580,35
581,39
582,36
583,58
584,35
585,36
586,39
587,58
588,67
589,58
590,58
591,99
592,43
593,50
594,50
595,70
596,50
597,79
598,52
599,81
600,50
601,52
602,79
603,81
604,70
605,81
606,81
607,107
608,64
609,89
610,67
611,92
612,89
613,126
614,58
615,128
616,67
617,58
618,58
619,99
620,92
621,128
622,99
623,134
624,51
625,79
626,66
627,81
628,79
629,127
630,40
631,129
632,66
633,40
634,86
635,101
636,81
637,129
638,101
639,136
640,1
641,35
642,8
643,67
644,3
645,39
646,7
647,58
648,43
649,50
650,50
651,70
652,51
653,79
654,66
655,81
656,2
657,36
658,7
659,58
660,7
661,58
662,13
663,99
664,6
665,52
666,66
667,81
668,66
669,81
670,15
671,107
672,35
673,89
674,12
675,92
676,39
677,126
678,24
679,128
680,50
681,79
682,52
683,81
684,79
685,127
686,40
687,129
688,7
689,58
690,13
691,99
692,24
693,128
694,25
695,134
696,4
697,40
698,38
699,101
700,40
701,129
702,26
703,136
704,8
705,12
706,65
707,54
708,7
709,24
710,62
711,59
712,50
713,52
714,79
715,81
716,66
717,40
718,86
719,101
720,6
721,52
722,66
723,81
724,4
725,40
726,38
727,101
728,11
729,18
730,93
731,110
732,71
733,82
734,91
735,114
736,67
737,92
738,54
739,97
740,58
741,128
742,59
743,132
744,70
745,81
746,81
747,107
748,81
749,129
750,101
751,136
752,66
753,81
754,15
755,107
756,40
757,129
758,26
759,136
760,71
761,82
762,91
763,114
764,82
765,131
766,87
767,140
768,1
769,3
770,43
771,51
772,35
773,39
774,50
775,79
776,8
777,7
778,50
779,66
780,67
781,58
782,70
783,81
784,2
785,7
786,6
787,66
788,36
789,58
790,52
791,81
792,7
793,13
794,66
795,15
796,58
797,99
798,81
799,107
800,35
801,39
802,50
803,79
804,89
805,126
806,79
807,127
808,12
809,24
810,52
811,40
812,92
813,128
814,81
815,129
816,7
817,24
818,4
819,40
820,58
821,128
822,40
823,129
824,13
825,25
826,38
827,26
828,99
829,134
830,101
831,136
832,8
833,7
834,50
835,66
836,12
837,24
838,52
839,40
840,65
841,62
842,79
843,86
844,54
845,59
846,81
847,101
848,6
849,4
850,11
851,71
852,52
853,40
854,18
855,82
856,66
857,38
858,93
859,91
860,81
861,101
862,110
863,114
864,67
865,58
866,70
867,81
868,92
869,128
870,81
871,129
872,54
873,59
874,81
875,101
876,97
877,132
878,107
879,136
880,66
881,40
882,71
883,82
884,81
885,129
886,82
887,131
888,15
889,26
890,91
891,87
892,107
893,136
894,114
895,140
896,2
897,7
898,6
899,66
900,7
901,24
902,4
903,40
904,6
905,4
906,11
907,71
908,66
909,40
910,71
911,82
912,0
913,62
914,10
915,86
916,62
917,59
918,38
919,101
920,10
921,38
922,55
923,91
924,86
925,101
926,91
927,114
928,36
929,58
930,52
931,81
932,58
933,128
934,40
935,129
936,52
937,40
938,18
939,82
940,81
941,129
942,82
943,131
944,62
945,59
946,38
947,101
948,59
949,132
950,26
951,136
952,38
953,26
954,76
955,87
956,101
957,136
958,87
959,140
960,7
961,13
962,66
963,15
964,13
965,25
966,38
967,26
968,66
969,38
970,93
971,91
972,15
973,26
974,91
975,87
976,10
977,38
978,55
979,91
980,38
981,26
982,76
983,87
984,55
985,76
986,98
987,113
988,91
989,87
990,113
991,84
992,58
993,99
994,81
995,107
996,99
997,134
998,101
999,136
1000,81
1001,101
1002,110
1003,114
1004,107
1005,136
1006,114
1007,140
1008,86
1009,101
1010,91
1011,114
1012,101
1013,136
1014,87
1015,140
1016,91
1017,87
1018,113
1019,84
1020,114
1021,140
1022,84
1023,143
1024,41
1025,42
1026,61
1027,64
1028,42
1029,35
1030,35
1031,67
1032,61
1033,35
1034,85
1035,89
1036,64
1037,67
1038,89
1039,92
1040,1
1041,8
1042,35
1043,67
1044,8
1045,65
1046,12
1047,54
1048,35
1049,12
1050,89
1051,92
1052,67
1053,54
1054,92
1055,97
1056,42
1057,35
1058,35
1059,67
1060,35
1061,39
1062,36
1063,58
1064,35
1065,36
1066,39
1067,58
1068,67
1069,58
1070,58
1071,99
1072,43
1073,50
1074,50
1075,70
1076,50
1077,79
1078,52
1079,81
1080,50
1081,52
1082,79
1083,81
1084,70
1085,81
1086,81
1087,107
1088,61
1089,35
1090,85
1091,89
1092,35
1093,36
1094,39
1095,58
1096,85
1097,39
1098,121
1099,126
1100,89
1101,58
1102,126
1103,128
1104,3
1105,7
1106,39
1107,58
1108,7
1109,62
1110,24
1111,59
1112,39
1113,24
1114,126
1115,128
1116,58
1117,59
1118,128
1119,132
1120,64
1121,67
1122,89
1123,92
1124,67
1125,58
1126,58
1127,99
1128,89
1129,58
1130,126
1131,128
1132,92
1133,99
1134,128
1135,134
1136,51
1137,66
1138,79
1139,81
1140,66
1141,86
1142,40
1143,101
1144,79
1145,40
1146,127
1147,129
1148,81
1149,101
1150,129
1151,136
1152,1
1153,8
1154,35
1155,67
1156,43
1157,50
1158,50
1159,70
1160,3
1161,7
1162,39
1163,58
1164,51
1165,66
1166,79
1167,81
1168,2
1169,7
1170,36
1171,58
1172,6
1173,66
1174,52
1175,81
1176,7
1177,13
1178,58
1179,99
1180,66
1181,15
1182,81
1183,107
1184,8
1185,65
1186,12
1187,54
1188,50
1189,79
1190,52
1191,81
1192,7
1193,62
1194,24
1195,59
1196,66
1197,86
1198,40
1199,101
1200,6
1201,66
1202,52
1203,81
1204,11
1205,93
1206,18
1207,110
1208,4
1209,38
1210,40
1211,101
1212,71
1213,91
1214,82
1215,114
1216,35
1217,12
1218,89
1219,92
1220,50
1221,52
1222,79
1223,81
1224,39
1225,24
1226,126
1227,128
1228,79
1229,40
1230,127
1231,129
1232,7
1233,13
1234,58
1235,99
1236,4
1237,38
1238,40
1239,101
1240,24
1241,25
1242,128
1243,134
1244,40
1245,26
1246,129
1247,136
1248,67
1249,54
1250,92
1251,97
1252,70
1253,81
1254,81
1255,107
1256,58
1257,59
1258,128
1259,132
1260,81
1261,101
1262,129
1263,136
1264,66
1265,15
1266,81
1267,107
1268,71
1269,91
1270,82
1271,114
1272,40
1273,26
1274,129
1275,136
1276,82
1277,87
1278,131
1279,140
1280,1
1281,43
1282,3
1283,51
1284,8
1285,50
1286,7
1287,66
1288,35
1289,50
1290,39
1291,79
1292,67
1293,70
1294,58
1295,81
1296,2
1297,6
1298,7
1299,66
1300,7
1301,66
1302,13
1303,15
1304,36
1305,52
1306,58
1307,81
1308,58
1309,81
1310,99
1311,107
1312,8
1313,50
1314,7
1315,66
1316,65
1317,79
1318,62
1319,86
1320,12
1321,52
1322,24
1323,40
1324,54
1325,81
1326,59
1327,101
1328,6
1329,11
1330,4
1331,71
1332,66
1333,93
1334,38
1335,91
1336,52
1337,18
1338,40
1339,82
1340,81
1341,110
1342,101
1343,114
1344,35
1345,50
1346,39
1347,79
1348,12
1349,52
1350,24
1351,40
1352,89
1353,79
1354,126
1355,127
1356,92
1357,81
1358,128
1359,129
1360,7
1361,4
1362,24
1363,40
1364,13
1365,38
1366,25
1367,26
1368,58
1369,40
1370,128
1371,129
1372,99
1373,101
1374,134
1375,136
1376,67
1377,70
1378,58
1379,81
1380,54
1381,81
1382,59
1383,101
1384,92
1385,81
1386,128
1387,129
1388,97
1389,107
1390,132
1391,136
1392,66
1393,71
1394,40
1395,82
1396,15
1397,91
1398,26
1399,87
1400,81
1401,82
1402,129
1403,131
1404,107
1405,114
1406,136
1407,140
1408,2
1409,6
1410,7
1411,66
1412,6
1413,11
1414,4
1415,71
1416,7
1417,4
1418,24
1419,40
1420,66
1421,71
1422,40
1423,82
1424,0
1425,10
1426,62
1427,86
1428,10
1429,55
1430,38
1431,91
1432,62
1433,38
1434,59
1435,101
1436,86
1437,91
1438,101
1439,114
1440,7
1441,66
1442,13
1443,15
1444,66
1445,93
1446,38
1447,91
1448,13
1449,38
1450,25
1451,26
1452,15
1453,91
1454,26
1455,87
1456,10
1457,55
1458,38
1459,91
1460,55
1461,98
1462,76
1463,113
1464,38
1465,76
1466,26
1467,87
1468,91
1469,113
1470,87
1471,84
1472,36
1473,52
1474,58
1475,81
1476,52
1477,18
1478,40
1479,82
1480,58
1481,40
1482,128
1483,129
1484,81
1485,82
1486,129
1487,131
1488,62
1489,38
1490,59
1491,101
1492,38
1493,76
1494,26
1495,87
1496,59
1497,26
1498,132
1499,136
1500,101
1501,87
1502,136
1503,140
1504,58
1505,81
1506,99
1507,107
1508,81
1509,110
1510,101
1511,114
1512,99
1513,101
1514,134
1515,136
1516,107
1517,114
1518,136
1519,140
1520,86
1521,91
1522,101
1523,114
1524,91
1525,113
1526,87
1527,84
1528,101
1529,87
1530,136
1531,140
1532,114
1533,84
1534,140
1535,143
1536,47
1537,64
1538,64
1539,73
1540,64
1541,89
1542,67
1543,92
1544,64
1545,67
1546,89
1547,92
1548,73
1549,92
1550,92
1551,109
1552,48
1553,65
1554,65
1555,54
1556,65
1557,90
1558,69
1559,94
1560,65
1561,69
1562,90
1563,94
1564,54
1565,94
1566,94
1567,112
1568,64
1569,89
1570,67
1571,92
1572,89
1573,126
1574,58
1575,128
1576,67
1577,58
1578,58
1579,99
1580,92
1581,128
1582,99
1583,134
1584,51
1585,79
1586,66
1587,81
1588,79
1589,127
1590,40
1591,129
1592,66
1593,40
1594,86
1595,101
1596,81
1597,129
1598,101
1599,136
1600,64
1601,67
1602,89
1603,92
1604,67
1605,58
1606,58
1607,99
1608,89
1609,58
1610,126
1611,128
1612,92
1613,99
1614,128
1615,134
1616,51
1617,66
1618,79
1619,81
1620,66
1621,86
1622,40
1623,101
1624,79
1625,40
1626,127
1627,129
1628,81
1629,101
1630,129
1631,136
1632,73
1633,92
1634,92
1635,109
1636,92
1637,128
1638,99
1639,134
1640,92
1641,99
1642,128
1643,134
1644,109
1645,134
1646,134
1647,144
1648,74
1649,93
1650,93
1651,110
1652,93
1653,122
1654,100
1655,135
1656,93
1657,100
1658,122
1659,135
1660,110
1661,135
1662,135
1663,145
1664,48
1665,65
1666,65
1667,54
1668,51
1669,79
1670,66
1671,81
1672,51
1673,66
1674,79
1675,81
1676,74
1677,93
1678,93
1679,110
1680,0
1681,62
1682,62
1683,59
1684,10
1685,86
1686,38
1687,101
1688,10
1689,38
1690,86
1691,101
1692,55
1693,91
1694,91
1695,114
1696,65
1697,90
1698,69
1699,94
1700,79
1701,127
1702,40
1703,129
1704,66
1705,86
1706,40
1707,101
1708,93
1709,122
1710,100
1711,135
1712,10
1713,86
1714,38
1715,101
1716,21
1717,122
1718,23
1719,135
1720,68
1721,56
1722,56
1723,104
1724,57
1725,123
1726,80
1727,138
1728,65
1729,69
1730,90
1731,94
1732,66
1733,40
1734,86
1735,101
1736,79
1737,40
1738,127
1739,129
1740,93
1741,100
1742,122
1743,135
1744,10
1745,38
1746,86
1747,101
1748,68
1749,56
1750,56
1751,104
1752,21
1753,23
1754,122
1755,135
1756,57
1757,80
1758,123
1759,138
1760,54
1761,94
1762,94
1763,112
1764,81
1765,129
1766,101
1767,136
1768,81
1769,101
1770,129
1771,136
1772,110
1773,135
1774,135
1775,145
1776,55
1777,91
1778,91
1779,114
1780,57
1781,123
1782,80
1783,138
1784,57
1785,80
1786,123
1787,138
1788,83
1789,124
1790,124
1791,147
1792,48
1793,51
1794,51
1795,74
1796,65
1797,79
1798,66
1799,93
1800,65
1801,66
1802,79
1803,93
1804,54
1805,81
1806,81
1807,110
1808,0
1809,10
1810,10
1811,55
1812,62
1813,86
1814,38
1815,91
1816,62
1817,38
1818,86
1819,91
1820,59
1821,101
1822,101
1823,114
1824,65
1825,79
1826,66
1827,93
1828,90
1829,127
1830,86
1831,122
1832,69
1833,40
1834,40
1835,100
1836,94
1837,129
1838,101
1839,135
1840,10
1841,21
1842,68
1843,57
1844,86
1845,122
1846,56
1847,123
1848,38
1849,23
1850,56
1851,80
1852,101
1853,135
1854,104
1855,138
1856,65
1857,66
1858,79
1859,93
1860,69
1861,40
1862,40
1863,100
1864,90
1865,86
1866,127
1867,122
1868,94
1869,101
1870,129
1871,135
1872,10
1873,68
1874,21
1875,57
1876,38
1877,56
1878,23
1879,80
1880,86
1881,56
1882,122
1883,123
1884,101
1885,104
1886,135
1887,138
1888,54
1889,81
1890,81
1891,110
1892,94
1893,129
1894,101
1895,135
1896,94
1897,101
1898,129
1899,135
1900,112
1901,136
1902,136
1903,145
1904,55
1905,57
1906,57
1907,83
1908,91
1909,123
1910,80
1911,124
1912,91
1913,80
1914,123
1915,124
1916,114
1917,138
1918,138
1919,147
1920,0
1921,10
1922,10
1923,55
1924,10
1925,21
1926,68
1927,57
1928,10
1929,68
1930,21
1931,57
1932,55
1933,57
1934,57
1935,83
1936,49
1937,63
1938,63
1939,60
1940,63
1941,60
1942,53
1943,102
1944,63
1945,53
1946,60
1947,102
1948,60
1949,102
1950,102
1951,116
1952,62
1953,86
1954,38
1955,91
1956,86
1957,122
1958,56
1959,123
1960,38
1961,56
1962,23
1963,80
1964,91
1965,123
1966,80
1967,124
1968,63
1969,60
1970,53
1971,102
1972,60
1973,133
1974,27
1975,137
1976,53
1977,27
1978,27
1979,105
1980,102
1981,137
1982,105
1983,141
1984,62
1985,38
1986,86
1987,91
1988,38
1989,23
1990,56
1991,80
1992,86
1993,56
1994,122
1995,123
1996,91
1997,80
1998,123
1999,124
2000,63
2001,53
2002,60
2003,102
2004,53
2005,27
2006,27
2007,105
2008,60
2009,27
2010,133
2011,137
2012,102
2013,105
2014,137
2015,141
2016,59
2017,101
2018,101
2019,114
2020,101
2021,135
2022,104
2023,138
2024,101
2025,104
2026,135
2027,138
2028,114
2029,138
2030,138
2031,147
2032,60
2033,102
2034,102
2035,116
2036,102
2037,137
2038,105
2039,141
2040,102
2041,105
2042,137
2043,141
2044,116
2045,141
2046,141
2047,150
2048,33
2049,42
2050,42
2051,64
2052,1
2053,35
2054,8
2055,67
2056,1
2057,8
2058,35
2059,67
2060,48
2061,65
2062,65
2063,54
2064,1
2065,35
2066,35
2067,89
2068,8
2069,67
2070,12
2071,92
2072,8
2073,12
2074,67
2075,92
2076,65
2077,54
2078,54
2079,97
2080,1
2081,35
2082,8
2083,67
2084,3
2085,39
2086,7
2087,58
2088,43
2089,50
2090,50
2091,70
2092,51
2093,79
2094,66
2095,81
2096,2
2097,36
2098,7
2099,58
2100,7
2101,58
2102,13
2103,99
2104,6
2105,52
2106,66
2107,81
2108,66
2109,81
2110,15
2111,107
2112,1
2113,8
2114,35
2115,67
2116,43
2117,50
2118,50
2119,70
2120,3
2121,7
2122,39
2123,58
2124,51
2125,66
2126,79
2127,81
2128,2
2129,7
2130,36
2131,58
2132,6
2133,66
2134,52
2135,81
2136,7
2137,13
2138,58
2139,99
2140,66
2141,15
2142,81
2143,107
2144,48
2145,65
2146,65
2147,54
2148,51
2149,79
2150,66
2151,81
2152,51
2153,66
2154,79
2155,81
2156,74
2157,93
2158,93
2159,110
2160,0
2161,62
2162,62
2163,59
2164,10
2165,86
2166,38
2167,101
2168,10
2169,38
2170,86
2171,101
2172,55
2173,91
2174,91
2175,114
2176,1
2177,35
2178,35
2179,89
2180,2
2181,36
2182,7
2183,58
2184,2
2185,7
2186,36
2187,58
2188,0
2189,62
2190,62
2191,59
2192,3
2193,39
2194,39
2195,126
2196,7
2197,58
2198,24
2199,128
2200,7
2201,24
2202,58
2203,128
2204,62
2205,59
2206,59
2207,132
2208,8
2209,67
2210,12
2211,92
2212,7
2213,58
2214,13
2215,99
2216,6
2217,66
2218,52
2219,81
2220,10
2221,86
2222,38
2223,101
2224,7
2225,58
2226,24
2227,128
2228,13
2229,99
2230,25
2231,134
2232,4
2233,40
2234,40
2235,129
2236,38
2237,101
2238,26
2239,136
2240,8
2241,12
2242,67
2243,92
2244,6
2245,52
2246,66
2247,81
2248,7
2249,13
2250,58
2251,99
2252,10
2253,38
2254,86
2255,101
2256,7
2257,24
2258,58
2259,128
2260,4
2261,40
2262,40
2263,129
2264,13
2265,25
2266,99
2267,134
2268,38
2269,26
2270,101
2271,136
2272,65
2273,54
2274,54
2275,97
2276,66
2277,81
2278,15
2279,107
2280,66
2281,15
2282,81
2283,107
2284,55
2285,91
2286,91
2287,114
2288,62
2289,59
2290,59
2291,132
2292,38
2293,101
2294,26
2295,136
2296,38
2297,26
2298,101
2299,136
2300,76
2301,87
2302,87
2303,140
2304,34
2305,43
2306,43
2307,51
2308,43
2309,50
2310,6
2311,66
2312,43
2313,6
2314,50
2315,66
2316,51
2317,66
2318,66
2319,15
2320,43
2321,50
2322,50
2323,79
2324,50
2325,70
2326,52
2327,81
2328,50
2329,52
2330,70
2331,81
2332,79
2333,81
2334,81
2335,107
2336,43
2337,50
2338,6
2339,66
2340,51
2341,79
2342,10
2343,86
2344,46
2345,11
2346,11
2347,71
2348,74
2349,93
2350,55
2351,91
2352,6
2353,52
2354,4
2355,40
2356,66
2357,81
2358,38
2359,101
2360,11
2361,18
2362,71
2363,82
2364,93
2365,110
2366,91
2367,114
2368,43
2369,6
2370,50
2371,66
2372,46
2373,11
2374,11
2375,71
2376,51
2377,10
2378,79
2379,86
2380,74
2381,55
2382,93
2383,91
2384,6
2385,4
2386,52
2387,40
2388,11
2389,71
2390,18
2391,82
2392,66
2393,38
2394,81
2395,101
2396,93
2397,91
2398,110
2399,114
2400,51
2401,66
2402,66
2403,15
2404,74
2405,93
2406,55
2407,91
2408,74
2409,55
2410,93
2411,91
2412,78
2413,98
2414,98
2415,113
2416,10
2417,38
2418,38
2419,26
2420,55
2421,91
2422,76
2423,87
2424,55
2425,76
2426,91
2427,87
2428,98
2429,113
2430,113
2431,84
2432,43
2433,50
2434,50
2435,79
2436,6
2437,52
2438,4
2439,40
2440,6
2441,4
2442,52
2443,40
2444,10
2445,38
2446,38
2447,26
2448,51
2449,79
2450,79
2451,127
2452,66
2453,81
2454,40
2455,129
2456,66
2457,40
2458,81
2459,129
2460,86
2461,101
2462,101
2463,136
2464,50
2465,70
2466,52
2467,81
2468,66
2469,81
2470,38
2471,101
2472,11
2473,71
2474,18
2475,82
2476,55
2477,91
2478,76
2479,87
2480,66
2481,81
2482,40
2483,129
2484,15
2485,107
2486,26
2487,136
2488,71
2489,82
2490,82
2491,131
2492,91
2493,114
2494,87
2495,140
2496,50
2497,52
2498,70
2499,81
2500,11
2501,18
2502,71
2503,82
2504,66
2505,38
2506,81
2507,101
2508,55
2509,76
2510,91
2511,87
2512,66
2513,40
2514,81
2515,129
2516,71
2517,82
2518,82
2519,131
2520,15
2521,26
2522,107
2523,136
2524,91
2525,87
2526,114
2527,140
2528,79
2529,81
2530,81
2531,107
2532,93
2533,110
2534,91
2535,114
2536,93
2537,91
2538,110
2539,114
2540,98
2541,113
2542,113
2543,84
2544,86
2545,101
2546,101
2547,136
2548,91
2549,114
2550,87
2551,140
2552,91
2553,87
2554,114
2555,140
2556,113
2557,84
2558,84
2559,143
2560,42
2561,64
2562,45
2563,73
2564,35
2565,89
2566,12
2567,92
2568,8
2569,65
2570,12
2571,54
2572,65
2573,90
2574,69
2575,94
2576,8
2577,67
2578,12
2579,92
2580,12
2581,92
2582,17
2583,109
2584,44
2585,69
2586,69
2587,94
2588,69
2589,94
2590,75
2591,112
2592,35
2593,89
2594,12
2595,92
2596,39
2597,126
2598,24
2599,128
2600,50
2601,79
2602,52
2603,81
2604,79
2605,127
2606,40
2607,129
2608,7
2609,58
2610,13
2611,99
2612,24
2613,128
2614,25
2615,134
2616,4
2617,40
2618,38
2619,101
2620,40
2621,129
2622,26
2623,136
2624,8
2625,65
2626,12
2627,54
2628,50
2629,79
2630,52
2631,81
2632,7
2633,62
2634,24
2635,59
2636,66
2637,86
2638,40
2639,101
2640,6
2641,66
2642,52
2643,81
2644,11
2645,93
2646,18
2647,110
2648,4
2649,38
2650,40
2651,101
2652,71
2653,91
2654,82
2655,114
2656,65
2657,90
2658,69
2659,94
2660,79
2661,127
2662,40
2663,129
2664,66
2665,86
2666,40
2667,101
2668,93
2669,122
2670,100
2671,135
2672,10
2673,86
2674,38
2675,101
2676,21
2677,122
2678,23
2679,135
2680,68
2681,56
2682,56
2683,104
2684,57
2685,123
2686,80
2687,138
2688,8
2689,67
2690,12
2691,92
2692,7
2693,58
2694,13
2695,99
2696,6
2697,66
2698,52
2699,81
2700,10
2701,86
2702,38
2703,101
2704,7
2705,58
2706,24
2707,128
2708,13
2709,99
2710,25
2711,134
2712,4
2713,40
2714,40
2715,129
2716,38
2717,101
2718,26
2719,136
2720,12
2721,92
2722,17
2723,109
2724,24
2725,128
2726,25
2727,134
2728,11
2729,93
2730,18
2731,110
2732,21
2733,122
2734,23
2735,135
2736,13
2737,99
2738,25
2739,134
2740,25
2741,134
2742,28
2743,144
2744,14
2745,100
2746,23
2747,135
2748,23
2749,135
2750,29
2751,145
2752,44
2753,69
2754,69
2755,94
2756,4
2757,40
2758,38
2759,101
2760,4
2761,38
2762,40
2763,101
2764,68
2765,56
2766,56
2767,104
2768,4
2769,40
2770,40
2771,129
2772,14
2773,100
2774,23
2775,135
2776,14
2777,23
2778,100
2779,135
2780,5
2781,80
2782,80
2783,138
2784,69
2785,94
2786,75
2787,112
2788,40
2789,129
2790,26
2791,136
2792,71
2793,91
2794,82
2795,114
2796,57
2797,123
2798,80
2799,138
2800,38
2801,101
2802,26
2803,136
2804,23
2805,135
2806,29
2807,145
2808,5
2809,80
2810,80
2811,138
2812,22
2813,124
2814,88
2815,147
2816,43
2817,51
2818,46
2819,74
2820,50
2821,79
2822,11
2823,93
2824,6
2825,10
2826,11
2827,55
2828,66
2829,86
2830,71
2831,91
2832,6
2833,66
2834,11
2835,93
2836,52
2837,81
2838,18
2839,110
2840,4
2841,38
2842,71
2843,91
2844,40
2845,101
2846,82
2847,114
2848,50
2849,79
2850,11
2851,93
2852,79
2853,127
2854,21
2855,122
2856,11
2857,21
2858,37
2859,57
2860,93
2861,122
2862,57
2863,123
2864,4
2865,40
2866,14
2867,100
2868,40
2869,129
2870,23
2871,135
2872,14
2873,23
2874,5
2875,80
2876,100
2877,135
2878,80
2879,138
2880,6
2881,10
2882,11
2883,55
2884,11
2885,21
2886,37
2887,57
2888,10
2889,63
2890,21
2891,60
2892,55
2893,60
2894,57
2895,102
2896,9
2897,68
2898,37
2899,57
2900,37
2901,57
2902,19
2903,83
2904,68
2905,53
2906,57
2907,102
2908,57
2909,102
2910,83
2911,116
2912,66
2913,86
2914,71
2915,91
2916,93
2917,122
2918,57
2919,123
2920,55
2921,60
2922,57
2923,102
2924,98
2925,133
2926,108
2927,137
2928,68
2929,56
2930,5
2931,80
2932,57
2933,123
2934,22
2935,124
2936,16
2937,27
2938,95
2939,105
2940,108
2941,137
2942,115
2943,141
2944,6
2945,66
2946,11
2947,93
2948,4
2949,40
2950,14
2951,100
2952,9
2953,68
2954,37
2955,57
2956,68
2957,56
2958,5
2959,80
2960,10
2961,86
2962,21
2963,122
2964,38
2965,101
2966,23
2967,135
2968,68
2969,56
2970,57
2971,123
2972,56
2973,104
2974,80
2975,138
2976,52
2977,81
2978,18
2979,110
2980,40
2981,129
2982,23
2983,135
2984,37
2985,57
2986,19
2987,83
2988,57
2989,123
2990,22
2991,124
2992,38
2993,101
2994,23
